team,year,completions_allowed,pass_attempts_faced,passing_yards_allowed,passing_tds_allowed,interceptions_made,sacks_made,rush_attempts_faced,rushing_yards_allowed,rushing_tds_allowed,fumbles_forced,total_plays_faced,total_yards_allowed,turnovers_forced,offensive_tds_allowed,yards_per_play_allowed,opponent_cmp_percentage,yards_per_pass_allowed,yards_per_rush_allowed,sack_rate,conference,division
ARI,2020,365.0,619.0,3949.0,26.0,11.0,48.0,439.0,2008.0,13.0,3.0,1058.0,5957.0,14.0,39.0,5.630435,58.966076,6.3796444,4.574032,7.7544427,NFC,NFC West
ARI,2021,367.0,605.0,3872.0,30.0,13.0,41.0,426.0,1949.0,10.0,3.0,1031.0,5821.0,16.0,40.0,5.6459746,60.661156,6.4,4.5751176,6.7768598,NFC,NFC West
ARI,2022,414.0,631.0,4181.0,29.0,11.0,36.0,446.0,2016.0,21.0,3.0,1077.0,6197.0,14.0,50.0,5.7539463,65.61014,6.6259904,4.5201793,5.7052298,NFC,NFC West
ARI,2023,347.0,541.0,3846.0,32.0,11.0,33.0,521.0,2434.0,19.0,1.0,1062.0,6280.0,12.0,51.0,5.913371,64.14048,7.1090574,4.671785,6.0998154,NFC,NFC West
ARI,2024,370.0,581.0,3930.0,20.0,9.0,41.0,465.0,2149.0,18.0,3.0,1046.0,6079.0,12.0,38.0,5.8116636,63.683308,6.7641997,4.6215053,7.056799,NFC,NFC West
ATL,2020,425.0,657.0,4918.0,34.0,12.0,29.0,381.0,1677.0,15.0,7.0,1038.0,6595.0,19.0,49.0,6.3535647,64.68797,7.4855404,4.4015746,4.414003,NFC,NFC South
ATL,2021,391.0,600.0,4104.0,31.0,12.0,18.0,524.0,2242.0,19.0,3.0,1124.0,6346.0,15.0,50.0,5.6459074,65.166664,6.84,4.278626,3.0,NFC,NFC South
ATL,2022,372.0,584.0,4090.0,26.0,10.0,21.0,503.0,2214.0,15.0,4.0,1087.0,6304.0,14.0,41.0,5.799448,63.69863,7.0034246,4.4015903,3.5958905,NFC,NFC South
ATL,2023,340.0,593.0,3707.0,24.0,8.0,42.0,499.0,2009.0,11.0,6.0,1092.0,5716.0,14.0,35.0,5.234432,57.33558,6.2512646,4.026052,7.0826306,NFC,NFC South
ATL,2024,404.0,611.0,4004.0,34.0,12.0,31.0,459.0,2051.0,11.0,5.0,1070.0,6055.0,17.0,45.0,5.6588783,66.12112,6.5531917,4.4684095,5.07365,NFC,NFC South
BAL,2020,380.0,638.0,3808.0,22.0,10.0,39.0,385.0,1740.0,12.0,7.0,1023.0,5548.0,17.0,34.0,5.423265,59.561127,5.9686522,4.5194807,6.1128526,AFC,AFC North
BAL,2021,397.0,660.0,4986.0,31.0,9.0,34.0,378.0,1436.0,13.0,1.0,1038.0,6422.0,10.0,44.0,6.1868978,60.151516,7.5545454,3.7989419,5.151515,AFC,AFC North
BAL,2022,394.0,643.0,4252.0,20.0,14.0,48.0,407.0,1566.0,11.0,1.0,1050.0,5818.0,15.0,31.0,5.540952,61.275272,6.612753,3.8476658,7.465008,AFC,AFC North
BAL,2023,384.0,699.0,3717.0,18.0,18.0,60.0,417.0,1860.0,6.0,1.0,1116.0,5577.0,19.0,24.0,4.9973116,54.935623,5.3175964,4.4604316,8.583691,AFC,AFC North
BAL,2024,396.0,685.0,4468.0,27.0,12.0,54.0,384.0,1361.0,12.0,3.0,1069.0,5829.0,15.0,39.0,5.4527597,57.81022,6.522628,3.5442708,7.883212,AFC,AFC North
BUF,2020,369.0,617.0,3946.0,23.0,15.0,38.0,415.0,1914.0,21.0,4.0,1032.0,5860.0,19.0,44.0,5.6782947,59.80551,6.395462,4.612048,6.158833,AFC,AFC East
