team,year,pass_completions,pass_attempts,passing_yards,passing_tds,interceptions,sacks_taken,rush_attempts,rushing_yards,rushing_tds,fumbles_lost,total_plays,total_yards,total_turnovers,offensive_tds,yards_per_play,cmp_percentage,yards_per_pass,yards_per_rush,net_yards_per_pass,pass_td_int_ratio,conference,division
ARI,2020,387.0,606.0,4102.0,27.0,13.0,29.0,480.0,2237.0,22.0,1.0,1086.0,6339.0,14.0,49.0,5.8370166,63.86139,6.7689767,4.6604166,6.4598427,2.0769231,NFC,NFC West
ARI,2021,415.0,633.0,4619.0,27.0,11.0,39.0,496.0,2076.0,23.0,1.0,1129.0,6695.0,12.0,50.0,5.9300265,65.56082,7.2969985,4.185484,6.873512,2.4545455,NFC,NFC West
ARI,2022,433.0,717.0,3966.0,17.0,17.0,46.0,436.0,1873.0,15.0,4.0,1153.0,5839.0,21.0,32.0,5.0641804,60.390514,5.5313807,4.2958717,5.197903,1.0,NFC,NFC West
ARI,2023,355.0,604.0,3430.0,18.0,12.0,42.0,477.0,2365.0,17.0,1.0,1081.0,5795.0,13.0,35.0,5.360777,58.774834,5.6788077,4.958071,5.3095975,1.5,NFC,NFC West
ARI,2024,374.0,573.0,3859.0,21.0,11.0,30.0,468.0,2451.0,18.0,4.0,1041.0,6310.0,15.0,39.0,6.0614796,65.27051,6.7347293,5.2371793,6.399668,1.9090909,NFC,NFC West
ATL,2020,408.0,672.0,4620.0,27.0,11.0,41.0,409.0,1532.0,13.0,3.0,1081.0,6152.0,14.0,40.0,5.6910267,60.714287,6.875,3.7457213,6.4796634,2.4545455,NFC,NFC South
ATL,2021,377.0,615.0,3987.0,20.0,15.0,40.0,394.0,1451.0,11.0,3.0,1009.0,5438.0,18.0,31.0,5.3894944,61.300816,6.482927,3.6827412,6.087023,1.3333334,NFC,NFC South
ATL,2022,257.0,454.0,2927.0,17.0,9.0,37.0,560.0,2718.0,17.0,4.0,1014.0,5645.0,13.0,34.0,5.567061,56.607933,6.4471364,4.8535714,5.961303,1.8888888,NFC,NFC South
ATL,2023,327.0,573.0,3775.0,17.0,17.0,40.0,523.0,2159.0,14.0,6.0,1096.0,5934.0,23.0,31.0,5.4142337,57.06806,6.588133,4.128107,6.1582384,1.0,NFC,NFC South
ATL,2024,364.0,593.0,4283.0,21.0,19.0,32.0,497.0,2219.0,18.0,1.0,1090.0,6502.0,20.0,39.0,5.9651375,61.3828,7.222597,4.464789,6.8528,1.1052631,NFC,NFC South
BAL,2020,257.0,439.0,2919.0,27.0,11.0,32.0,556.0,3070.0,24.0,5.0,995.0,5989.0,16.0,51.0,6.0190954,58.542137,6.649203,5.5215826,6.197452,2.4545455,AFC,AFC North
BAL,2021,396.0,675.0,4267.0,21.0,18.0,57.0,518.0,2479.0,18.0,3.0,1193.0,6746.0,21.0,39.0,5.654652,58.666664,6.3214817,4.785714,5.829235,1.1666666,AFC,AFC North
BAL,2022,300.0,527.0,3202.0,19.0,13.0,38.0,527.0,2720.0,14.0,3.0,1054.0,5922.0,16.0,33.0,5.6185956,56.925995,6.0759015,5.16129,5.667257,1.4615384,AFC,AFC North
BAL,2023,328.0,536.0,3881.0,27.0,7.0,41.0,542.0,2661.0,26.0,5.0,1078.0,6542.0,12.0,53.0,6.0686455,61.19403,7.2406716,4.909594,6.72617,3.857143,AFC,AFC North
BAL,2024,318.0,503.0,4189.0,41.0,4.0,24.0,555.0,3184.0,21.0,5.0,1058.0,7373.0,9.0,62.0,6.968809,63.220673,8.328032,5.736937,7.9487667,10.25,AFC,AFC North
BUF,2020,410.0,624.0,4786.0,40.0,11.0,27.0,411.0,1723.0,16.0,5.0,1035.0,6509.0,16.0,56.0,6.288889,65.705124,7.669872,4.192214,7.3517666,3.6363637,AFC,AFC East
BUF,2021,415.0,686.0,4450.0,36.0,16.0,27.0,463.0,2205.0,20.0,3.0,1149.0,6655.0,19.0,56.0,5.791993,60.49563,6.4868803,4.762419,6.2412343,2.25,AFC,AFC East
BUF,2022,361.0,608.0,4291.0,35.0,14.0,33.0,432.0,2232.0,15.0,7.0,1040.0,6523.0,21.0,50.0,6.272115,59.375,7.0575657,5.1666665,6.6942277,2.5,AFC,AFC East
BUF,2023,385.0,607.0,4306.0,29.0,18.0,24.0,512.0,2212.0,22.0,4.0,1119.0,6518.0,22.0,51.0,5.8248434,63.426693,7.0939045,4.3203125,6.8240886,1.6111112,AFC,AFC East
BUF,2024,329.0,535.0,3938.0,30.0,6.0,14.0,491.0,2230.0,32.0,0.0,1026.0,6168.0,6.0,62.0,6.011696,61.495327,7.360748,4.5417514,7.173042,5.0,AFC,AFC East
CAR,2020,373.0,588.0,4129.0,16.0,16.0,36.0,407.0,1704.0,19.0,2.0,995.0,5833.0,18.0,35.0,5.8623114,63.435375,7.022109,4.1867323,6.616987,1.0,NFC,NFC South
CAR,2021,348.0,654.0,3573.0,14.0,21.0,52.0,456.0,1842.0,17.0,5.0,1110.0,5415.0,26.0,31.0,4.8783784,53.21101,5.4633026,4.0394735,5.0609064,0.6666667,NFC,NFC South
CAR,2022,267.0,494.0,3246.0,16.0,13.0,36.0,486.0,2210.0,16.0,2.0,980.0,5456.0,15.0,32.0,5.567347,54.048584,6.5708504,4.547325,6.1245284,1.2307693,NFC,NFC South
CAR,2023,350.0,652.0,3245.0,13.0,10.0,65.0,447.0,1769.0,7.0,3.0,1099.0,5014.0,13.0,20.0,4.5623293,53.68098,4.976994,3.9574945,4.525802,1.3,NFC,NFC South
CAR,2024,341.0,585.0,3411.0,22.0,15.0,36.0,411.0,1878.0,18.0,3.0,996.0,5289.0,18.0,40.0,5.3102407,58.2906,5.830769,4.569343,5.4927535,1.4666667,NFC,NFC South
